country,city,aqi_value,aqi_category,co_aqi,co_category,ozone_aqi,ozone_category,no2_aqi,no2_category,pm25_aqi,pm25_category
Russian Federation,Praskoveya,51.00,Moderate,1.00,Good,36.00,Good,0.00,Good,51.00,Moderate
Brazil,Presidente Dutra,41.00,Good,1.00,Good,5.00,Good,1.00,Good,41.00,Good
Italy,Priolo Gargallo,66.00,Moderate,1.00,Good,39.00,Good,2.00,Good,66.00,Moderate
Poland,Przasnysz,34.00,Good,1.00,Good,34.00,Good,0.00,Good,20.00,Good
France,Punaauia,22.00,Good,0.00,Good,22.00,Good,0.00,Good,6.00,Good
United States of America,Punta Gorda,54.00,Moderate,1.00,Good,14.00,Good,11.00,Good,54.00,Moderate
Germany,Puttlingen,62.00,Moderate,1.00,Good,35.00,Good,3.00,Good,62.00,Moderate
Belgium,Puurs,64.00,Moderate,1.00,Good,29.00,Good,7.00,Good,64.00,Moderate
Russian Federation,Pyatigorsk,54.00,Moderate,1.00,Good,41.00,Good,1.00,Good,54.00,Moderate
Egypt,Qalyub,142.00,Unhealthy for Sensitive Groups,3.00,Good,89.00,Moderate,9.00,Good,142.00,Unhealthy for Sensitive Groups
China,Qinzhou,68.00,Moderate,2.00,Good,68.00,Moderate,1.00,Good,58.00,Moderate
Netherlands,Raalte,41.00,Good,1.00,Good,24.00,Good,6.00,Good,41.00,Good
India,Radaur,158.00,Unhealthy,3.00,Good,139.00,Unhealthy for Sensitive Groups,1.00,Good,158.00,Unhealthy
Pakistan,Radhan,158.00,Unhealthy,1.00,Good,50.00,Good,1.00,Good,158.00,Unhealthy
Republic of North Macedonia,Radovis,83.00,Moderate,1.00,Good,46.00,Good,0.00,Good,83.00,Moderate
France,Raismes,59.00,Moderate,1.00,Good,30.00,Good,4.00,Good,59.00,Moderate
India,Rajgir,154.00,Unhealthy,3.00,Good,100.00,Unhealthy for Sensitive Groups,2.00,Good,154.00,Unhealthy
Italy,Ramacca,55.00,Moderate,1.00,Good,47.00,Good,0.00,Good,55.00,Moderate
United States of America,Phoenix,72.00,Moderate,1.00,Good,4.00,Good,23.00,Good,72.00,Moderate
India,Phulabani,161.00,Unhealthy,2.00,Good,71.00,Moderate,0.00,Good,161.00,Unhealthy
Poland,Piaseczno,28.00,Good,1.00,Good,28.00,Good,2.00,Good,28.00,Good
India,Pimpri,118.00,Unhealthy for Sensitive Groups,2.00,Good,30.00,Good,2.00,Good,118.00,Unhealthy for Sensitive Groups
Brazil,Pindobacu,33.00,Good,0.00,Good,10.00,Good,1.00,Good,33.00,Good
China,Pingyin,150.00,Unhealthy,3.00,Good,95.00,Moderate,6.00,Good,150.00,Unhealthy
Brazil,Pinheiral,154.00,Unhealthy,5.00,Good,0.00,Good,13.00,Good,154.00,Unhealthy
India,Piravam,81.00,Moderate,1.00,Good,24.00,Good,1.00,Good,81.00,Moderate
Colombia,Plato,67.00,Moderate,1.00,Good,16.00,Good,2.00,Good,67.00,Moderate
Romania,Poiana Mare,62.00,Moderate,1.00,Good,37.00,Good,1.00,Good,62.00,Moderate
Russian Federation,Polevskoy,31.00,Good,1.00,Good,31.00,Good,0.00,Good,17.00,Good
France,Pontarlier,56.00,Moderate,1.00,Good,35.00,Good,0.00,Good,56.00,Moderate
United States of America,Pontiac,77.00,Moderate,2.00,Good,22.00,Good,15.00,Good,77.00,Moderate
Indonesia,Pontianak,44.00,Good,1.00,Good,15.00,Good,0.00,Good,44.00,Good
Brazil,Porecatu,30.00,Good,1.00,Good,9.00,Good,2.00,Good,30.00,Good
Finland,Pori,30.00,Good,1.00,Good,30.00,Good,1.00,Good,15.00,Good
South Africa,Port Elizabeth,79.00,Moderate,3.00,Good,18.00,Good,5.00,Good,79.00,Moderate
United States of America,Port Neches,34.00,Good,1.00,Good,19.00,Good,7.00,Good,34.00,Good
United Kingdom of Great Britain and Northern Ireland,Port Talbot,51.00,Moderate,1.00,Good,20.00,Good,5.00,Good,51.00,Moderate
United States of America,Portales,77.00,Moderate,1.00,Good,34.00,Good,0.00,Good,77.00,Moderate
United States of America,Post Falls,61.00,Moderate,1.00,Good,32.00,Good,3.00,Good,61.00,Moderate
Brazil,Pouso Alegre,32.00,Good,1.00,Good,7.00,Good,2.00,Good,32.00,Good
China,Dalinghe,64.00,Moderate,3.00,Good,64.00,Moderate,4.00,Good,64.00,Moderate
Russian Federation,Dalnegorsk,29.00,Good,0.00,Good,29.00,Good,0.00,Good,25.00,Good
United Republic of Tanzania,Dar Es Salaam,51.00,Moderate,1.00,Good,23.00,Good,0.00,Good,51.00,Moderate
India,Darbhanga,247.00,Very Unhealthy,3.00,Good,162.00,Unhealthy,1.00,Good,247.00,Very Unhealthy
United States of America,Dayton,45.00,Good,1.00,Good,32.00,Good,7.00,Good,45.00,Good
Belgium,Deinze,36.00,Good,1.00,Good,25.00,Good,3.00,Good,36.00,Good
Egypt,Dekernes,81.00,Moderate,2.00,Good,81.00,Moderate,4.00,Good,56.00,Moderate
Haiti,Delmas,124.00,Unhealthy for Sensitive Groups,2.00,Good,15.00,Good,5.00,Good,124.00,Unhealthy for Sensitive Groups
United States of America,Deming,72.00,Moderate,1.00,Good,26.00,Good,2.00,Good,72.00,Moderate
United Kingdom of Great Britain and Northern Ireland,Denton,55.00,Moderate,0.00,Good,32.00,Good,1.00,Good,55.00,Moderate
United States of America,Destin,31.00,Good,0.00,Good,31.00,Good,0.00,Good,25.00,Good
Pakistan,Dhadar,157.00,Unhealthy,1.00,Good,89.00,Moderate,0.00,Good,157.00,Unhealthy
India,Dharmapuri,60.00,Moderate,1.00,Good,31.00,Good,1.00,Good,60.00,Moderate
Pakistan,Digri,153.00,Unhealthy,1.00,Good,40.00,Good,0.00,Good,153.00,Unhealthy
Somalia,Dinsor,22.00,Good,0.00,Good,19.00,Good,0.00,Good,22.00,Good
Philippines,Dipolog,30.00,Good,1.00,Good,17.00,Good,0.00,Good,30.00,Good
Latvia,Dobele,44.00,Good,1.00,Good,34.00,Good,0.00,Good,44.00,Good
United States of America,Grandville,47.00,Good,1.00,Good,37.00,Good,4.00,Good,47.00,Good
Netherlands,Grave,37.00,Good,0.00,Good,32.00,Good,2.00,Good,37.00,Good
United States of America,Green Valley,44.00,Good,1.00,Good,14.00,Good,8.00,Good,44.00,Good
United States of America,Greendale,58.00,Moderate,2.00,Good,14.00,Good,24.00,Good,58.00,Moderate
Poland,Grudziadz,37.00,Good,0.00,Good,33.00,Good,0.00,Good,37.00,Good
Colombia,Guamo,89.00,Moderate,3.00,Good,3.00,Good,6.00,Good,89.00,Moderate
Italy,Guardiagrele,52.00,Moderate,2.00,Good,38.00,Good,7.00,Good,52.00,Moderate
Chad,Guelengdeng,59.00,Moderate,2.00,Good,16.00,Good,0.00,Good,59.00,Moderate
United Kingdom of Great Britain and Northern Ireland,Guildford,51.00,Moderate,1.00,Good,25.00,Good,6.00,Good,51.00,Moderate
Philippines,Guiset,66.00,Moderate,1.00,Good,26.00,Good,1.00,Good,66.00,Moderate
Russian Federation,Gukovo,38.00,Good,1.00,Good,38.00,Good,0.00,Good,13.00,Good
United States of America,Havre De Grace,34.00,Good,1.00,Good,30.00,Good,7.00,Good,34.00,Good
United States of America,Hazelwood,88.00,Moderate,2.00,Good,11.00,Good,20.00,Good,88.00,Moderate
Germany,Heddesheim,54.00,Moderate,1.00,Good,31.00,Good,3.00,Good,54.00,Moderate
Germany,Heiligenhaus,44.00,Good,1.00,Good,28.00,Good,3.00,Good,44.00,Good
United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,51.00,Moderate,1.00,Good,26.00,Good,6.00,Good,51.00,Moderate
United States of America,Hicksville,67.00,Moderate,2.00,Good,15.00,Good,23.00,Good,67.00,Moderate
Brazil,Hidrolandia,42.00,Good,1.00,Good,5.00,Good,2.00,Good,42.00,Good
India,Gyanpur,189.00,Unhealthy,2.00,Good,99.00,Moderate,1.00,Good,189.00,Unhealthy
Germany,Haiger,49.00,Good,1.00,Good,25.00,Good,3.00,Good,49.00,Good
China,Hangzhou,203.00,Very Unhealthy,5.00,Good,203.00,Very Unhealthy,5.00,Good,151.00,Unhealthy
Germany,Harrislee,35.00,Good,0.00,Good,32.00,Good,0.00,Good,35.00,Good
United States of America,Harrison,90.00,Moderate,1.00,Good,25.00,Good,2.00,Good,90.00,Moderate
India,Harur,67.00,Moderate,1.00,Good,26.00,Good,1.00,Good,67.00,Moderate
Germany,Hasbergen,36.00,Good,0.00,Good,34.00,Good,1.00,Good,36.00,Good
France,Haubourdin,48.00,Good,1.00,Good,28.00,Good,4.00,Good,48.00,Good
United States of America,Taunton,41.00,Good,1.00,Good,28.00,Good,10.00,Good,41.00,Good
New Zealand,Tauranga,19.00,Good,0.00,Good,19.00,Good,1.00,Good,17.00,Good
Tunisia,Tawzar,73.00,Moderate,1.00,Good,43.00,Good,0.00,Good,73.00,Moderate
Viet Nam,Tay Ninh,45.00,Good,0.00,Good,18.00,Good,1.00,Good,45.00,Good
Iran (Islamic Republic of),Taybad,170.00,Unhealthy,1.00,Good,43.00,Good,0.00,Good,170.00,Unhealthy
Italy,Teano,47.00,Good,1.00,Good,47.00,Good,1.00,Good,36.00,Good
India,Tekkali,155.00,Unhealthy,3.00,Good,82.00,Moderate,1.00,Good,155.00,Unhealthy
Brazil,Teodoro Sampaio,46.00,Good,1.00,Good,9.00,Good,1.00,Good,46.00,Good
Mexico,Tepeaca,172.00,Unhealthy,5.00,Good,2.00,Good,11.00,Good,172.00,Unhealthy
Mexico,Tequila,64.00,Moderate,1.00,Good,15.00,Good,2.00,Good,64.00,Moderate
Italy,Teramo,44.00,Good,1.00,Good,44.00,Good,1.00,Good,38.00,Good
Viet Nam,Thai Nguyen,150.00,Unhealthy,3.00,Good,150.00,Unhealthy,1.00,Good,105.00,Unhealthy for Sensitive Groups
China,Tianjin,142.00,Unhealthy for Sensitive Groups,4.00,Good,113.00,Unhealthy for Sensitive Groups,9.00,Good,142.00,Unhealthy for Sensitive Groups
Indonesia,Tidore,21.00,Good,0.00,Good,13.00,Good,0.00,Good,21.00,Good
Romania,Timisoara,47.00,Good,1.00,Good,42.00,Good,0.00,Good,47.00,Good
Tunisia,Tinjah,48.00,Good,1.00,Good,48.00,Good,1.00,Good,29.00,Good
Philippines,Toboso,54.00,Moderate,1.00,Good,20.00,Good,0.00,Good,54.00,Moderate
Japan,Tokorozawa,60.00,Moderate,1.00,Good,44.00,Good,3.00,Good,60.00,Moderate
Mexico,Toluca,166.00,Unhealthy,4.00,Good,8.00,Good,19.00,Good,166.00,Unhealthy
Brazil,Itapissuma,27.00,Good,0.00,Good,23.00,Good,1.00,Good,27.00,Good
Brazil,Itarantim,23.00,Good,1.00,Good,7.00,Good,1.00,Good,23.00,Good
Brazil,Itumbiara,31.00,Good,1.00,Good,13.00,Good,0.00,Good,31.00,Good
Mexico,Ixtaczoquitlan,88.00,Moderate,3.00,Good,13.00,Good,9.00,Good,88.00,Moderate
El Salvador,Izalco,90.00,Moderate,2.00,Good,22.00,Good,9.00,Good,90.00,Moderate
United Republic of Tanzania,Izazi,28.00,Good,1.00,Good,15.00,Good,0.00,Good,28.00,Good
Russian Federation,Izberbash,51.00,Moderate,1.00,Good,38.00,Good,0.00,Good,51.00,Moderate
India,Jabalpur,170.00,Unhealthy,1.00,Good,38.00,Good,0.00,Good,170.00,Unhealthy
Brazil,Jaguaquara,22.00,Good,0.00,Good,9.00,Good,1.00,Good,22.00,Good
India,Jahanabad,168.00,Unhealthy,4.00,Good,168.00,Unhealthy,1.00,Good,156.00,Unhealthy
Bulgaria,Jambol,40.00,Good,1.00,Good,40.00,Good,0.00,Good,32.00,Good
Poland,Jarocin,47.00,Good,1.00,Good,27.00,Good,2.00,Good,47.00,Good
Philippines,Jasaan,59.00,Moderate,1.00,Good,32.00,Good,0.00,Good,59.00,Moderate
Nigeria,Ilobu,133.00,Unhealthy for Sensitive Groups,4.00,Good,23.00,Good,3.00,Good,133.00,Unhealthy for Sensitive Groups
Finland,Imatra,29.00,Good,1.00,Good,29.00,Good,1.00,Good,7.00,Good
Brazil,Indaial,73.00,Moderate,2.00,Good,2.00,Good,8.00,Good,73.00,Moderate
Philippines,Indang,50.00,Good,0.00,Good,24.00,Good,0.00,Good,50.00,Good
Brazil,Itagi,25.00,Good,0.00,Good,9.00,Good,1.00,Good,25.00,Good
Nigeria,Iseyin,90.00,Moderate,3.00,Good,18.00,Good,2.00,Good,90.00,Moderate
Mexico,Isla,81.00,Moderate,2.00,Good,26.00,Good,3.00,Good,81.00,Moderate
Brazil,Itaitinga,29.00,Good,0.00,Good,20.00,Good,1.00,Good,29.00,Good
Brazil,Itambe,21.00,Good,0.00,Good,8.00,Good,1.00,Good,21.00,Good
Brazil,Itapemirim,44.00,Good,1.00,Good,16.00,Good,1.00,Good,44.00,Good
South Sudan,Torit,65.00,Moderate,1.00,Good,12.00,Good,0.00,Good,65.00,Moderate
Guatemala,Totonicapan,66.00,Moderate,2.00,Good,7.00,Good,6.00,Good,66.00,Moderate
United States of America,Trenton,53.00,Moderate,1.00,Good,28.00,Good,10.00,Good,53.00,Moderate
United States of America,Trujillo Alto,56.00,Moderate,0.00,Good,23.00,Good,0.00,Good,56.00,Moderate
Ireland,Tullamore,57.00,Moderate,1.00,Good,26.00,Good,3.00,Good,57.00,Moderate
Turkey,Tunceli,62.00,Moderate,0.00,Good,35.00,Good,0.00,Good,62.00,Moderate
Viet Nam,Tuyen Quang,167.00,Unhealthy,4.00,Good,167.00,Unhealthy,1.00,Good,107.00,Unhealthy for Sensitive Groups
United States of America,Two Rivers,49.00,Good,1.00,Good,27.00,Good,4.00,Good,49.00,Good
United States of America,Tysons Corner,55.00,Moderate,2.00,Good,25.00,Good,11.00,Good,55.00,Moderate
Russian Federation,Tyukalinsk,34.00,Good,1.00,Good,34.00,Good,0.00,Good,32.00,Good
India,Udupi,80.00,Moderate,1.00,Good,25.00,Good,0.00,Good,80.00,Moderate
India,Umaria,163.00,Unhealthy,2.00,Good,92.00,Moderate,0.00,Good,163.00,Unhealthy
United States of America,Willowbrook,126.00,Unhealthy for Sensitive Groups,4.00,Good,3.00,Good,36.00,Good,126.00,Unhealthy for Sensitive Groups
United States of America,Wilmette,63.00,Moderate,2.00,Good,9.00,Good,22.00,Good,63.00,Moderate
United States of America,Wolf Trap,53.00,Moderate,2.00,Good,27.00,Good,10.00,Good,53.00,Moderate
United States of America,Woodhaven,86.00,Moderate,2.00,Good,38.00,Good,10.00,Good,86.00,Moderate
China,Wulanhaote,47.00,Good,2.00,Good,47.00,Good,0.00,Good,25.00,Good
China,Xiangdong,78.00,Moderate,2.00,Good,25.00,Good,7.00,Good,78.00,Moderate
China,Xiaoweizhai,61.00,Moderate,2.00,Good,61.00,Moderate,0.00,Good,54.00,Moderate
China,Xushan,112.00,Unhealthy for Sensitive Groups,2.00,Good,44.00,Good,4.00,Good,112.00,Unhealthy for Sensitive Groups
Peru,Yanacancha,27.00,Good,0.00,Good,6.00,Good,1.00,Good,27.00,Good
China,Yancheng,155.00,Unhealthy,3.00,Good,155.00,Unhealthy,2.00,Good,151.00,Unhealthy
Democratic Republic of the Congo,Yangambi,121.00,Unhealthy for Sensitive Groups,4.00,Good,24.00,Good,0.00,Good,121.00,Unhealthy for Sensitive Groups
China,Yanggu,160.00,Unhealthy,3.00,Good,138.00,Unhealthy for Sensitive Groups,5.00,Good,160.00,Unhealthy
China,Yangliuqing,144.00,Unhealthy for Sensitive Groups,4.00,Good,109.00,Unhealthy for Sensitive Groups,9.00,Good,144.00,Unhealthy for Sensitive Groups
China,Yanji,69.00,Moderate,2.00,Good,48.00,Good,0.00,Good,69.00,Moderate
United States of America,Yankton,47.00,Good,1.00,Good,34.00,Good,3.00,Good,47.00,Good
Germany,Wenden,69.00,Moderate,1.00,Good,34.00,Good,4.00,Good,69.00,Moderate
United States of America,West Carrollton City,84.00,Moderate,3.00,Good,9.00,Good,24.00,Good,84.00,Moderate
Belgium,Wetteren,64.00,Moderate,1.00,Good,32.00,Good,6.00,Good,64.00,Moderate
Canada,Whitehorse,20.00,Good,1.00,Good,20.00,Good,1.00,Good,10.00,Good
Ireland,Wicklow,38.00,Good,1.00,Good,30.00,Good,3.00,Good,38.00,Good
Switzerland,Wil,59.00,Moderate,1.00,Good,27.00,Good,3.00,Good,59.00,Moderate
Germany,Wildeshausen,67.00,Moderate,1.00,Good,30.00,Good,5.00,Good,67.00,Moderate
United States of America,Williamsport,75.00,Moderate,2.00,Good,13.00,Good,16.00,Good,75.00,Moderate
United States of America,Fox Lake,60.00,Moderate,2.00,Good,18.00,Good,21.00,Good,60.00,Moderate
Brazil,Foz Do Iguacu,22.00,Good,1.00,Good,13.00,Good,0.00,Good,22.00,Good
Denmark,Frederikssund,36.00,Good,1.00,Good,36.00,Good,0.00,Good,25.00,Good
United States of America,Friendly,41.00,Good,1.00,Good,30.00,Good,8.00,Good,41.00,Good
Germany,Fuldatal,44.00,Good,1.00,Good,28.00,Good,2.00,Good,44.00,Good
Japan,Furano,29.00,Good,1.00,Good,26.00,Good,1.00,Good,29.00,Good
China,Fuzhou,168.00,Unhealthy,3.00,Good,168.00,Unhealthy,5.00,Good,99.00,Moderate
United Kingdom of Great Britain and Northern Ireland,Galashiels,25.00,Good,1.00,Good,25.00,Good,3.00,Good,23.00,Good
Germany,Gangelt,41.00,Good,1.00,Good,26.00,Good,4.00,Good,41.00,Good
Germany,Garbsen,36.00,Good,0.00,Good,33.00,Good,1.00,Good,36.00,Good
Cameroon,Garoua,59.00,Moderate,2.00,Good,12.00,Good,0.00,Good,59.00,Moderate
Somalia,Garowe,98.00,Moderate,0.00,Good,17.00,Good,0.00,Good,98.00,Moderate
Netherlands,Geertruidenberg,35.00,Good,0.00,Good,33.00,Good,2.00,Good,35.00,Good
Australia,Geraldton,29.00,Good,0.00,Good,29.00,Good,0.00,Good,13.00,Good
Germany,Germersheim,51.00,Moderate,1.00,Good,29.00,Good,3.00,Good,51.00,Moderate
Colombia,Girardot,103.00,Unhealthy for Sensitive Groups,4.00,Good,9.00,Good,6.00,Good,103.00,Unhealthy for Sensitive Groups
Russian Federation,Glubokiy,35.00,Good,1.00,Good,35.00,Good,0.00,Good,17.00,Good
United Kingdom of Great Britain and Northern Ireland,Golborne,35.00,Good,1.00,Good,30.00,Good,4.00,Good,35.00,Good
Portugal,Gondomar,27.00,Good,0.00,Good,27.00,Good,2.00,Good,21.00,Good
Russian Federation,Goryachevodskiy,48.00,Good,1.00,Good,39.00,Good,1.00,Good,48.00,Good
India,Govindgarh,307.00,Hazardous,1.00,Good,45.00,Good,0.00,Good,307.00,Hazardous
Côte d'Ivoire,Grand Lahou,54.00,Moderate,1.00,Good,25.00,Good,0.00,Good,54.00,Moderate
United States of America,Hoffman Estates,61.00,Moderate,2.00,Good,26.00,Good,16.00,Good,61.00,Moderate
Sweden,Hoganas,36.00,Good,1.00,Good,36.00,Good,1.00,Good,30.00,Good
United States of America,Holly Springs,42.00,Good,1.00,Good,42.00,Good,2.00,Good,37.00,Good
Germany,Holzminden,42.00,Good,0.00,Good,32.00,Good,1.00,Good,42.00,Good
China,Huaicheng,151.00,Unhealthy,4.00,Good,45.00,Good,4.00,Good,151.00,Unhealthy
Ethiopia,Huruta,102.00,Unhealthy for Sensitive Groups,1.00,Good,23.00,Good,0.00,Good,102.00,Unhealthy for Sensitive Groups
Nigeria,Idanre,115.00,Unhealthy for Sensitive Groups,3.00,Good,24.00,Good,2.00,Good,115.00,Unhealthy for Sensitive Groups
Italy,Iglesias,64.00,Moderate,1.00,Good,53.00,Moderate,1.00,Good,64.00,Moderate
Germany,Ihlow,40.00,Good,1.00,Good,30.00,Good,2.00,Good,40.00,Good
Japan,Iizuka,45.00,Good,1.00,Good,45.00,Good,0.00,Good,38.00,Good
Thailand,Sungai Kolok,65.00,Moderate,1.00,Good,34.00,Good,0.00,Good,65.00,Moderate
Indonesia,Sungaipenuh,17.00,Good,1.00,Good,13.00,Good,0.00,Good,17.00,Good
Russian Federation,Suvorovskaya,52.00,Moderate,1.00,Good,39.00,Good,1.00,Good,52.00,Moderate
Japan,Suzu,69.00,Moderate,1.00,Good,69.00,Moderate,1.00,Good,60.00,Moderate
Poland,Swiecie,44.00,Good,1.00,Good,33.00,Good,1.00,Good,44.00,Good
Hungary,Szeged,50.00,Good,1.00,Good,41.00,Good,1.00,Good,50.00,Good
Hungary,Szerencs,72.00,Moderate,1.00,Good,42.00,Good,1.00,Good,72.00,Moderate
Tunisia,Taburbah,49.00,Good,1.00,Good,49.00,Good,1.00,Good,32.00,Good
India,Tadepallegudem,127.00,Unhealthy for Sensitive Groups,2.00,Good,65.00,Moderate,1.00,Good,127.00,Unhealthy for Sensitive Groups
Iran (Islamic Republic of),Tafresh,125.00,Unhealthy for Sensitive Groups,2.00,Good,125.00,Unhealthy for Sensitive Groups,1.00,Good,82.00,Moderate
Philippines,Tagaytay,41.00,Good,1.00,Good,25.00,Good,1.00,Good,41.00,Good
Japan,Tajimi,52.00,Moderate,1.00,Good,34.00,Good,3.00,Good,52.00,Moderate
Japan,Takahagi,47.00,Good,1.00,Good,47.00,Good,1.00,Good,44.00,Good
Japan,Takahashi,36.00,Good,1.00,Good,36.00,Good,3.00,Good,34.00,Good
India,Tal,155.00,Unhealthy,1.00,Good,39.00,Good,0.00,Good,155.00,Unhealthy
Philippines,Talacogon,37.00,Good,1.00,Good,19.00,Good,0.00,Good,37.00,Good
Russian Federation,Taldom,46.00,Good,1.00,Good,27.00,Good,1.00,Good,46.00,Good
Kazakhstan,Talgar,69.00,Moderate,1.00,Good,42.00,Good,0.00,Good,69.00,Moderate
United States of America,Tamiami,64.00,Moderate,1.00,Good,18.00,Good,12.00,Good,64.00,Moderate
Israel,Tamra,92.00,Moderate,2.00,Good,52.00,Moderate,8.00,Good,92.00,Moderate
Japan,Tanashi,58.00,Moderate,1.00,Good,43.00,Good,3.00,Good,58.00,Moderate
Romania,Tandarei,41.00,Good,1.00,Good,41.00,Good,0.00,Good,38.00,Good
Philippines,Tantangan,35.00,Good,1.00,Good,20.00,Good,0.00,Good,35.00,Good
Indonesia,Tarogong,88.00,Moderate,2.00,Good,53.00,Moderate,1.00,Good,88.00,Moderate
Turkey,Tatvan,45.00,Good,0.00,Good,45.00,Good,0.00,Good,43.00,Good
India,Yaval,102.00,Unhealthy for Sensitive Groups,1.00,Good,38.00,Good,0.00,Good,102.00,Unhealthy for Sensitive Groups
United Kingdom of Great Britain and Northern Ireland,Yeovil,58.00,Moderate,1.00,Good,24.00,Good,7.00,Good,58.00,Moderate
China,Yuanping,143.00,Unhealthy for Sensitive Groups,2.00,Good,35.00,Good,5.00,Good,143.00,Unhealthy for Sensitive Groups
China,Yuncheng,187.00,Unhealthy,2.00,Good,36.00,Good,8.00,Good,187.00,Unhealthy
Poland,Zambrow,35.00,Good,1.00,Good,35.00,Good,0.00,Good,17.00,Good
Poland,Zamosc,48.00,Good,1.00,Good,35.00,Good,1.00,Good,48.00,Good
Belgium,Zaventem,58.00,Moderate,1.00,Good,29.00,Good,6.00,Good,58.00,Moderate
Belgium,Zemst,65.00,Moderate,1.00,Good,27.00,Good,8.00,Good,65.00,Moderate
China,Zhaozhou,73.00,Moderate,2.00,Good,66.00,Moderate,0.00,Good,73.00,Moderate
China,Zhicheng,160.00,Unhealthy,4.00,Good,36.00,Good,13.00,Good,160.00,Unhealthy
China,Zhongshan,98.00,Moderate,3.00,Good,33.00,Good,9.00,Good,98.00,Moderate
China,Zhuji,156.00,Unhealthy,4.00,Good,45.00,Good,10.00,Good,156.00,Unhealthy
Mexico,Zimatlan,75.00,Moderate,2.00,Good,9.00,Good,6.00,Good,75.00,Moderate
Mexico,Zinacantepec,163.00,Unhealthy,4.00,Good,8.00,Good,18.00,Good,163.00,Unhealthy
Russian Federation,Zmeinogorsk,35.00,Good,1.00,Good,35.00,Good,0.00,Good,21.00,Good
Netherlands,Aalburg,30.00,Good,0.00,Good,30.00,Good,2.00,Good,29.00,Good
Spain,Abaran,47.00,Good,1.00,Good,21.00,Good,2.00,Good,47.00,Good
Italy,Abbiategrasso,69.00,Moderate,1.00,Good,37.00,Good,4.00,Good,69.00,Moderate
Côte d'Ivoire,Abidjan,105.00,Unhealthy for Sensitive Groups,4.00,Good,15.00,Good,4.00,Good,105.00,Unhealthy for Sensitive Groups
Mexico,Acuautla,189.00,Unhealthy,2.00,Good,9.00,Good,15.00,Good,189.00,Unhealthy
United States of America,Acworth,64.00,Moderate,2.00,Good,37.00,Good,8.00,Good,64.00,Moderate
United States of America,Adelphi,54.00,Moderate,1.00,Good,32.00,Good,5.00,Good,54.00,Moderate
India,Afzalgarh,198.00,Unhealthy,4.00,Good,198.00,Unhealthy,3.00,Good,188.00,Unhealthy
Nigeria,Agbor,139.00,Unhealthy for Sensitive Groups,7.00,Good,13.00,Good,5.00,Good,139.00,Unhealthy for Sensitive Groups
France,Aix En Provence,55.00,Moderate,1.00,Good,26.00,Good,3.00,Good,55.00,Moderate
Myanmar,Akyab,145.00,Unhealthy for Sensitive Groups,1.00,Good,46.00,Good,0.00,Good,145.00,Unhealthy for Sensitive Groups
United States of America,Alabaster,80.00,Moderate,1.00,Good,18.00,Good,10.00,Good,80.00,Moderate
Russian Federation,Alagir,50.00,Good,1.00,Good,36.00,Good,1.00,Good,50.00,Good
Belgium,Alken,35.00,Good,1.00,Good,25.00,Good,3.00,Good,35.00,Good
Canada,Alma,55.00,Moderate,1.00,Good,27.00,Good,0.00,Good,55.00,Moderate
Brazil,Almirante Tamandare,13.00,Good,1.00,Good,12.00,Good,1.00,Good,13.00,Good
Spain,Almoradi,48.00,Good,1.00,Good,23.00,Good,3.00,Good,48.00,Good
Papua New Guinea,Alotau,28.00,Good,0.00,Good,28.00,Good,0.00,Good,13.00,Good
Germany,Altotting,50.00,Good,1.00,Good,29.00,Good,3.00,Good,50.00,Good
Madagascar,Ambovombe,26.00,Good,0.00,Good,26.00,Good,0.00,Good,20.00,Good
China,Anqiu,107.00,Unhealthy for Sensitive Groups,2.00,Good,107.00,Unhealthy for Sensitive Groups,5.00,Good,86.00,Moderate
Madagascar,Antalaha,22.00,Good,0.00,Good,22.00,Good,0.00,Good,20.00,Good
United States of America,Antioch,76.00,Moderate,3.00,Good,7.00,Good,25.00,Good,76.00,Moderate
Lithuania,Anyksciai,47.00,Good,1.00,Good,32.00,Good,0.00,Good,47.00,Good
Ghana,Apam,104.00,Unhealthy for Sensitive Groups,2.00,Good,14.00,Good,1.00,Good,104.00,Unhealthy for Sensitive Groups
Mexico,Apaseo El Grande,60.00,Moderate,1.00,Good,16.00,Good,5.00,Good,60.00,Moderate
Brazil,Aragarcas,32.00,Good,1.00,Good,3.00,Good,2.00,Good,32.00,Good
Russian Federation,Arkadak,28.00,Good,1.00,Good,28.00,Good,1.00,Good,15.00,Good
France,Armentieres,34.00,Good,0.00,Good,28.00,Good,2.00,Good,34.00,Good
Russian Federation,Arsk,28.00,Good,1.00,Good,28.00,Good,1.00,Good,19.00,Good
Azerbaijan,Artyom,48.00,Good,1.00,Good,35.00,Good,0.00,Good,48.00,Good
Armenia,Ashtarak,39.00,Good,1.00,Good,29.00,Good,1.00,Good,39.00,Good
Ethiopia,Asosa,97.00,Moderate,1.00,Good,14.00,Good,0.00,Good,97.00,Moderate
Iran (Islamic Republic of),Astaneh Ye Ashrafiyeh,75.00,Moderate,1.00,Good,37.00,Good,0.00,Good,75.00,Moderate
India,Atarra,194.00,Unhealthy,1.00,Good,44.00,Good,0.00,Good,194.00,Unhealthy
Guatemala,Atescatempa,104.00,Unhealthy for Sensitive Groups,3.00,Good,5.00,Good,10.00,Good,104.00,Unhealthy for Sensitive Groups
